"","X","cyl","hp","wt","vs","hp_cyl","wt_hp"
"1","Mazda RX4",6,110,2.62,0,18.3333333333333,0.0238181818181818
"2","Mazda RX4 Wag",6,110,2.875,0,18.3333333333333,0.0261363636363636
"3","Datsun 710",4,93,2.32,1,23.25,0.0249462365591398
"4","Hornet 4 Drive",6,110,3.215,1,18.3333333333333,0.0292272727272727
"5","Hornet Sportabout",8,175,3.44,0,21.875,0.0196571428571429
"6","Valiant",6,105,3.46,1,17.5,0.032952380952381
"7","Duster 360",8,245,3.57,0,30.625,0.0145714285714286
"8","Merc 240D",4,62,3.19,1,15.5,0.0514516129032258
"9","Merc 230",4,95,3.15,1,23.75,0.0331578947368421
"10","Merc 280",6,123,3.44,1,20.5,0.0279674796747967
"11","Merc 280C",6,123,3.44,1,20.5,0.0279674796747967
"12","Merc 450SE",8,180,4.07,0,22.5,0.0226111111111111
"13","Merc 450SL",8,180,3.73,0,22.5,0.0207222222222222
"14","Merc 450SLC",8,180,3.78,0,22.5,0.021
"15","Cadillac Fleetwood",8,205,5.25,0,25.625,0.025609756097561
"16","Lincoln Continental",8,215,5.424,0,26.875,0.0252279069767442
"17","Chrysler Imperial",8,230,5.345,0,28.75,0.0232391304347826
"18","Fiat 128",4,66,2.2,1,16.5,0.0333333333333333
"19","Honda Civic",4,52,1.615,1,13,0.0310576923076923
"20","Toyota Corolla",4,65,1.835,1,16.25,0.0282307692307692
"21","Toyota Corona",4,97,2.465,1,24.25,0.0254123711340206
"22","Dodge Challenger",8,150,3.52,0,18.75,0.0234666666666667
"23","AMC Javelin",8,150,3.435,0,18.75,0.0229
"24","Camaro Z28",8,245,3.84,0,30.625,0.0156734693877551
"25","Pontiac Firebird",8,175,3.845,0,21.875,0.0219714285714286
"26","Fiat X1-9",4,66,1.935,1,16.5,0.0293181818181818
"27","Porsche 914-2",4,91,2.14,0,22.75,0.0235164835164835
"28","Lotus Europa",4,113,1.513,1,28.25,0.0133893805309735
"29","Ford Pantera L",8,264,3.17,0,33,0.0120075757575758
"30","Ferrari Dino",6,175,2.77,0,29.1666666666667,0.0158285714285714
"31","Maserati Bora",8,335,3.57,0,41.875,0.0106567164179104
"32","Volvo 142E",4,109,2.78,1,27.25,0.0255045871559633
